Workload1,Workload2,workload_online,workload_offline,Thread_combination,weight_Throughput_sum,Power,Duration,Energy,selected_model_freq,online_smact,estimated_offline_smact,estimated_offline_partition,ThreadCombination_online_offline,Weighted_Thruput_Online_Offline,estimated_best_partition_throughput,actual_best_partition_throughput,estimated_to_actual_ratio,w1_optimal_percentage,w2_optimal_percentage
fastWalshTransform_batch2-cuda_samples,mobilenet_batch2-train,fastWalshTransform_batch2-cuda_samples,mobilenet_batch2-train,"(w1_90, w2_10)",121.486,98.90741666666668,120.045,11894.4984,freq900,94.676,5.323999999999998,10,"(online_90, offline_10)",121.486,121.486,133.774,0.9081435854500874,90,10
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-train,resnet-50_batch2-train,fastWalshTransform_batch2-cuda_samples,"(w1_80, w2_20)",102.846,95.36819230769233,130.065,12423.4243,freq900,20.560416666666665,79.43958333333333,80,"(online_20, offline_80)",102.846,102.846,114.369,0.8992471736222228,80,20
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-inf,resnet-50_batch2-inf,fastWalshTransform_batch2-cuda_samples,"(w1_90, w2_10)",107.147,95.06246963562754,123.567,11766.25212,freq900,14.847872340425532,85.15212765957446,90,"(online_10, offline_90)",107.147,107.147,139.299,0.7691871442006044,90,10
fastWalshTransform_batch2-cuda_samples,vit_h_14_batch2-train,fastWalshTransform_batch2-cuda_samples,vit_h_14_batch2-train,"(w1_90, w2_10)",70.089,96.97908730158731,126.013,12241.30606,freq900,94.676,5.323999999999998,10,"(online_90, offline_10)",70.089,70.089,70.089,1.0,90,10
fastWalshTransform_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,fastWalshTransform_batch2-cuda_samples,"(w1_90, w2_10)",142.981,98.01514403292182,121.456,11927.76276,freq900,5.037234042553193,94.9627659574468,90,"(online_10, offline_90)",142.981,142.981,157.10000000000002,0.9101273074474855,90,10
albert-base-v2_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,reductionMultiBlockCG_batch2-cuda_samples,albert-base-v2_batch2-train,"(w1_10, w2_90)",476.215,94.41661764705884,136.147,12873.28497,freq900,91.6794392523365,8.320560747663507,10,"(online_90, offline_10)",476.215,476.215,476.215,1.0,10,90
albert-base-v2_batch2-train,transpose_batch2-cuda_samples,transpose_batch2-cuda_samples,albert-base-v2_batch2-train,"(w1_20, w2_80)",367.52,97.21514124293785,177.33,17260.09025,freq900,80.77651515151517,19.22348484848483,20,"(online_80, offline_20)",367.52,367.52,442.85,0.8298972564073613,20,80
albert-base-v2_batch2-train,sortingNetworks_batch2-cuda_samples,sortingNetworks_batch2-cuda_samples,albert-base-v2_batch2-train,"(w1_20, w2_80)",76.328,94.5598245614035,171.284,16215.31121,freq900,83.37761194029852,16.62238805970148,20,"(online_80, offline_20)",76.328,76.328,91.074,0.8380877088960625,20,80
albert-base-v2_batch2-train,fastWalshTransform_batch2-cuda_samples,fastWalshTransform_batch2-cuda_samples,albert-base-v2_batch2-train,"(w1_10, w2_90)",71.35499999999999,97.14330677290836,125.589,12220.7551,freq900,94.676,5.323999999999998,10,"(online_90, offline_10)",71.35499999999999,71.35499999999999,71.35499999999999,1.0,10,90
albert-base-v2_batch2-train,cudaTensorCoreGemm_batch2-cuda_samples,cudaTensorCoreGemm_batch2-cuda_samples,albert-base-v2_batch2-train,"(w1_10, w2_90)",131.21800000000002,94.60897828863344,392.74,37178.66317,freq900,98.47526315789472,1.524736842105284,10,"(online_90, offline_10)",131.21800000000002,131.21800000000002,131.21800000000002,1.0,10,90
resnet-50_batch2-inf,transpose_batch2-cuda_samples,resnet-50_batch2-inf,transpose_batch2-cuda_samples,"(w1_10, w2_90)",487.584,92.99418685121108,144.602,13465.80507,freq900,14.847872340425532,85.15212765957446,90,"(online_10, offline_90)",487.584,487.584,505.024,0.9654669877075149,10,90
resnet-50_batch2-inf,sortingNetworks_batch2-cuda_samples,resnet-50_batch2-inf,sortingNetworks_batch2-cuda_samples,"(w1_10, w2_90)",135.082,97.43830188679246,132.574,12938.48161,freq900,14.847872340425532,85.15212765957446,90,"(online_10, offline_90)",135.082,135.082,156.62,0.8624824415783424,10,90
cudaTensorCoreGemm_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,cudaTensorCoreGemm_batch2-cuda_samples,"(w1_20, w2_80)",42.473,94.66489530277306,2661.661,251988.78541,freq900,82.68936170212766,17.310638297872345,20,"(online_80, offline_20)",42.473,42.473,136.096,0.31208117799200563,20,80
cudaTensorCoreGemm_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,cudaTensorCoreGemm_batch2-cuda_samples,"(w1_60, w2_40)",129.227,93.73825203252032,617.292,57881.97519,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",129.227,129.227,151.286,0.8541900770725646,60,40
cudaTensorCoreGemm_batch2-cuda_samples,mobilenet_batch2-train,cudaTensorCoreGemm_batch2-cuda_samples,mobilenet_batch2-train,"(w1_90, w2_10)",205.993,97.69290414878397,350.523,34264.95546,freq900,98.47526315789472,1.524736842105284,10,"(online_90, offline_10)",205.993,205.993,205.993,1.0,90,10
cudaTensorCoreGemm_batch2-cuda_samples,resnet-50_batch2-train,resnet-50_batch2-train,cudaTensorCoreGemm_batch2-cuda_samples,"(w1_80, w2_20)",175.872,94.7753901560624,417.787,39614.57201,freq900,20.560416666666665,79.43958333333333,80,"(online_20, offline_80)",175.872,175.872,175.872,1.0,80,20
cudaTensorCoreGemm_batch2-cuda_samples,resnet-50_batch2-inf,resnet-50_batch2-inf,cudaTensorCoreGemm_batch2-cuda_samples,"(w1_90, w2_10)",188.325,94.11652759084794,372.34,35064.5505,freq900,14.847872340425532,85.15212765957446,90,"(online_10, offline_90)",188.325,188.325,198.278,0.9498028021263075,90,10
cudaTensorCoreGemm_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,cudaTensorCoreGemm_batch2-cuda_samples,"(w1_90, w2_10)",221.989,95.17694329183956,362.583,34528.7131,freq900,5.037234042553193,94.9627659574468,90,"(online_10, offline_90)",221.989,221.989,221.989,1.0,90,10
mobilenet_v2_1.0_224_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,"(w1_10, w2_90)",666.424,99.09801801801802,110.963,11017.36199,freq900,5.037234042553193,94.9627659574468,90,"(online_10, offline_90)",666.424,666.424,666.424,1.0,10,90
mobilenet_v2_1.0_224_batch2-inf,transpose_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,transpose_batch2-cuda_samples,"(w1_10, w2_90)",572.455,96.50498098859316,131.581,12718.5549,freq900,5.037234042553193,94.9627659574468,90,"(online_10, offline_90)",572.455,572.455,572.455,1.0,10,90
mobilenet_v2_1.0_224_batch2-inf,sortingNetworks_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,sortingNetworks_batch2-cuda_samples,"(w1_10, w2_90)",172.472,94.76984732824428,131.077,12441.4958,freq900,5.037234042553193,94.9627659574468,90,"(online_10, offline_90)",172.472,172.472,176.733,0.9758901846287904,10,90
