workload1,workload2,freq1,freq2,iterations,w1_proposal_percentage,w2_proposal_percentage,w1_fair_percentage,w2_fair_percentage,w1_optimal_percentage,w2_optimal_percentage,total_throughput_at_selected,w1_throughput_at_selected,w2_throughput_at_selected,w1_arrival,w2_arrival,w1_change_factor,w2_change_factor,w1_residual_selected,w2_residual_selected
bert-base-cased_batch2-train,whisper-large-v2_batch2-inf,300.0,300.0,2,60.0,60.0,50.0,50.0,50.0,50.0,2.881,2.565,0.316,4.641879871038824,0.638458413140635,0.8096997547909645,1.0204380162678324,-2.0768798710388237,-0.322458413140635
cudaTensorCoreGemm_batch2-cuda_samples,mobilenet_batch2-train,300.0,300.0,2,80.0,38.469134165324434,67.52813765681742,32.47186234318258,70.0,30.0,74.56700000000001,33.715,40.852,49.26108374384236,52.38470229739446,0.46110288429014856,0.2823044721774813,-15.54608374384236,-11.532702297394465
cudaTensorCoreGemm_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,300.0,300.0,2,80.0,38.84058281962748,67.31707140936989,32.682928590630105,70.0,30.0,96.019,33.047,62.972,49.26108374384236,81.52897271058606,0.4906370848743416,0.2946860939875827,-16.214083743842366,-18.55697271058606
cudaTensorCoreGemm_batch2-cuda_samples,resnet-50_batch2-inf,300.0,300.0,2,80.0,40.0,66.66666666666667,33.333333333333336,70.0,30.0,63.492999999999995,32.982,30.511,49.26108374384236,52.67105010726058,0.4935747906082822,0.7262970767021919,-16.279083743842364,-22.160050107260577
cudaTensorCoreGemm_batch2-cuda_samples,resnet-50_batch2-train,300.0,300.0,2,80.0,40.0,66.66666666666667,33.333333333333336,70.0,30.0,50.661,32.468,18.193,49.26108374384236,30.013618896435663,0.5172195313490932,0.6497344526156027,-16.79308374384236,-11.820618896435661
cudaTensorCoreGemm_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,300.0,300.0,2,80.0,50.0,61.53846153846154,38.46153846153847,60.0,40.0,43.629999999999995,28.868,14.762,49.26108374384236,28.79960639952206,0.7064252370736582,0.9509284920418681,-20.393083743842364,-14.037606399522058
cudaTensorCoreGemm_batch2-cuda_samples,vit_h_14_batch2-train,300.0,300.0,2,80.0,80.0,50.0,50.0,50.0,50.0,23.899,23.18,0.719,49.26108374384236,1.3865983171738605,1.1251546049975136,0.928509481465731,-26.081083743842363,-0.6675983171738605
cudaTensorCoreGemm_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,80.0,80.0,50.0,50.0,50.0,50.0,28.728,23.507,5.221,49.26108374384236,9.683122051755843,1.0955921105986455,0.8546489277448464,-25.75408374384236,-4.462122051755843
cudaTensorCoreGemm_batch2-cuda_samples,whisper-large-v2_batch2-inf,300.0,300.0,2,80.0,60.0,57.142857142857146,42.85714285714286,60.0,40.0,29.447,29.189,0.258,49.26108374384236,0.638458413140635,0.6876591779040859,1.474645012173004,-20.072083743842363,-0.380458413140635
fastWalshTransform_batch2-cuda_samples,mobilenet_batch2-train,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,56.986000000000004,17.237,39.749,25.884299,52.38470229739446,0.5016707663746592,0.3178873002438919,-8.647299,-12.63570229739446
